X1	X2	Y
-0.5654	-1.463	2
-0.5544	-1.3872	0
-1.746	0.4468	1
-1.7076	0.9655	2
-1.2895	-1.3389	1
-1.039	-1.236	1
-2.2015	0.8528	1
-1.57	-0.652	2
-1.4108	2.6433	1
-1.258	0.4968	1
-1.7593	-0.4751	2
-0.5319	-1.1893	2
-1.6771	-0.2965	2
-0.7199	1.0044	2
1.1544	1.2491	0
1.2482	0.5128	0
-1.1109	0.4168	2
-0.6834	-1.0426	2
0.3645	0.5558	0
-0.9208	-1.2805	2
-0.9338	1.6134	1
1.3496	-2.279	2
-0.9782	0.5516	1
1.0946	-1.4676	2
1.47	-1.3459	2
-1.6644	-0.8391	2
-0.9607	0.4849	1
-1.5783	-0.4411	2
1.1245	-1.1229	0
-1.3939	-1.8703	2
0.6709	-1.2458	0
-1.2252	-0.3503	2
1.1086	-1.8785	0
-0.7481	0.2789	1
1.609	-0.3735	0
-1.0761	-0.6688	2
-1.2296	1.7837	1
1.0607	-3.3445	2
0.4159	-0.0062	0
-0.9348	1.6063	1
0.0789	-0.1839	0
0.6828	-2.821	2
-1.2555	1.255	1
-1.7741	-0.0723	2
-2.3798	0.3381	2
-1.536	0.5672	1
-1.6184	0.9103	1
-0.9262	-1.8394	2
-1.7355	0.9883	1
0.5329	-0.9307	0
-0.8393	1.1299	1
-1.8211	0.6193	2
-0.941	1.1296	1
-1.5628	1.5775	1
-1.1652	-1.7411	2
-1.1586	-1.5119	2
-1.2456	2.8086	1
0.7346	-2.2855	0
1.0028	-2.8899	2
1.2361	-0.9799	0
-1.2429	-0.1262	1
-1.4677	-0.7935	1
-1.0909	-0.1731	1
1.4595	0.2987	0
-0.0078	-0.5887	0
-0.6349	0.6284	1
-1.1867	-0.4033	1
-0.723	-0.1399	1
-1.0525	1.3917	1
1.3071	-0.5132	0
-1.15	1.4496	1
0.7589	-1.6381	0
-1.2988	-0.6923	1
0.9788	-3.1879	2
-1.5164	-0.3522	2
1.9223	-3.767	2
0.8304	-0.1314	0
0.6971	-0.7377	0
1.3098	-1.794	0
-0.7091	0.1999	1
0.8151	-1.3901	0
-1.5044	-1.4637	2
-1.3256	-1.1109	2
0.6582	-2.4209	0
-0.0234	-2.2467	2
-0.8385	0.723	1
1.027	-2.3273	0
-1.4206	0.0827	1
-1.39	0.7805	1
0.3626	-3.2296	2
-0.5412	-0.3507	2
1.635	-0.5167	0
0.7634	-1.0384	0
-1.0523	1.6919	1
0.0609	-2.4553	0
0.9179	1.3533	0
1.2003	-2.4955	0
-1.0738	0.7218	1
1.2244	0.1198	0
-1.3033	-0.5969	2
-0.1423	-3.1569	2
-0.4127	-2.0577	2
-0.4807	-2.0593	2
-0.8727	-1.6452	0
-0.5555	-2.475	2
-0.571	-2.7023	2
-0.5165	-2.7727	2
-0.6254	-3.2732	2
-0.5088	-2.0088	2
-0.5954	-3.0505	2
-2.3685	0.4653	2
-2.2706	1.4689	2
-2.1014	0.8796	2
-2.2263	0.4234	2
-2.3524	0.8275	2
-0.2765	-3.2419	2
0.0928	-3.0924	2
-0.8732	-3.1024	2
-0.6879	-2.8876	2
-0.7411	-3.0132	0
